"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue","fouls","fouled","offsides","crosses","tackles_won","own_goals","pens_won","pens_conceded"
"Matty James","37","eng ENG","CM","34-130","85","0","0","0","0","0","0","1","0","70","2","0","3","0.0","0.0","0.0","3","0","54","65","83.1","11","31","2","1","1","/en/players/ebd0a048/Matty-James","Wrexham","1","7","49","15","0","70","100.0","0","0.0","201","110","2","0","0","0","47","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Sam Smith","28","eng ENG","CM","27-266","5","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","0","0","0","0","/en/players/231a0b44/Sam-Smith","Wrexham","0","0","0","1","1","1","","0","","0","0","0","0","0","0","1","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Ben Sheaf","18","eng ENG","CM","27-297","58","0","0","0","0","0","0","0","0","47","4","0","0","0.0","0.0","0.0","0","0","37","39","94.9","4","23","0","1","1","/en/players/7b4a62af/Ben-Sheaf","Wrexham","1","8","35","4","0","47","100.0","0","0.0","94","40","0","0","3","0","36","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"George Dobson","15","eng ENG","CM","28-014","32","0","0","0","0","1","0","0","0","35","0","0","2","0.0","0.0","0.0","2","0","21","28","75.0","3","13","0","0","0","/en/players/20a7d00d/George-Dobson","Wrexham","2","5","22","8","2","35","","0","","76","61","0","0","2","0","23","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"James McClean","7","ie IRL","WB","36-221","74","0","0","0","0","1","0","0","0","43","2","0","0","0.1","0.1","0.0","2","0","25","34","73.5","3","18","0","1","0","/en/players/53538b39/James-McClean","Wrexham","0","7","20","16","1","43","0.0","1","100.0","79","21","0","0","2","2","31","11","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Barnett","29","eng ENG","WB","26-067","16","0","0","0","0","0","0","0","0","6","0","0","0","0.0","0.0","0.0","0","0","4","5","80.0","1","2","0","0","0","/en/players/dfe6cd27/Ryan-Barnett","Wrexham","0","2","4","0","0","6","","0","","14","4","0","0","1","0","5","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Longman","47","eng ENG","WB","25-023","90","0","0","0","0","1","0","0","0","53","2","0","1","0.0","0.0","0.3","4","0","34","47","72.3","2","21","4","0","0","/en/players/9af7cc6d/Ryan-Longman","Wrexham","1","7","18","28","2","53","","0","","154","68","0","0","0","1","36","13","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Dominic Hyam","5","sct SCO","CB","29-344","90","0","0","0","0","0","0","0","0","94","1","1","2","0.0","0.0","0.0","1","0","69","81","85.2","7","38","1","0","0","/en/players/ce95958a/Dominic-Hyam","Wrexham","12","34","60","1","1","94","","0","","225","122","0","0","0","0","59","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Dan Scarr","24","eng ENG","CB","30-340","58","0","0","0","0","0","0","0","0","60","0","1","1","0.0","0.0","0.0","1","0","43","53","81.1","2","27","0","0","0","/en/players/24ffc012/Dan-Scarr","Wrexham","11","32","28","0","0","60","","0","","177","78","0","0","0","0","34","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Callum Doyle","2","eng ENG","CB","22-057","32","0","0","0","0","0","0","0","0","45","1","0","1","0.0","0.0","0.1","4","0","32","42","76.2","8","26","5","0","0","/en/players/984eb48c/Callum-Doyle","Wrexham","0","7","23","15","0","45","","0","","208","172","4","0","0","0","34","3","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Max Cleworth","4","wls WAL","CB","23-112","90","1","0","0","0","2","1","0","0","85","1","2","1","0.8","0.8","0.0","0","0","57","76","75.0","4","30","6","0","0","/en/players/aed092d5/Max-Cleworth","Wrexham","5","21","45","19","2","85","","0","","256","202","5","0","0","0","44","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Arthur Okonkwo","1","eng ENG","GK","24-081","90","0","0","0","0","0","0","0","0","33","0","0","0","0.0","0.0","0.0","0","0","22","32","68.8","0","13","0","0","0","/en/players/75834acc/Arthur-Okonkwo","Wrexham","28","33","0","0","0","33","","0","","68","21","0","0","0","0","10","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Andri Guðjohnsen","11","is ISL","FW","23-304","69","1","0","0","0","2","1","0","0","29","0","0","1","0.4","0.4","0.1","4","0","13","19","68.4","0","12","1","1","1","/en/players/25e60861/Andri-Gudjohnsen","Blackburn Rovers","0","2","18","9","5","29","100.0","0","0.0","80","52","0","0","3","1","17","4","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Makhtar Gueye","9","sn SEN","FW","27-360","21","0","0","0","0","0","0","0","0","15","0","1","0","0.0","0.0","0.0","1","0","3","9","33.3","2","9","1","3","2","/en/players/92b1763b/Makhtar-Gueye","Blackburn Rovers","0","1","11","4","2","15","66.7","1","33.3","48","10","0","1","4","0","11","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Yuki Ohashi","23","jp JPN","FW","29-125","74","0","0","0","0","3","1","0","0","35","0","0","1","0.3","0.3","0.1","4","0","13","17","76.5","2","13","2","3","2","/en/players/5fa86767/Yuki-Ohashi","Blackburn Rovers","0","2","16","17","7","35","66.7","1","33.3","163","68","2","1","7","4","23","3","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Dion De Neve","14","be BEL","FW","23-170","16","0","0","0","0","0","0","0","0","6","0","0","1","0.0","0.0","0.0","0","0","0","5","0.0","0","4","1","0","0","/en/players/7d89f763/Dion-De-Neve","Blackburn Rovers","0","1","2","4","0","6","","0","","40","23","1","0","0","0","4","2","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Ryoya Morishita","25","jp JPN","AM","28-232","74","0","0","0","0","2","1","0","0","44","0","1","1","0.1","0.1","0.0","4","1","27","35","77.1","4","19","1","1","1","/en/players/1bb1dc1b/Ryoya-Morishita","Blackburn Rovers","0","4","22","18","2","44","100.0","0","0.0","65","31","0","0","2","0","24","2","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Axel Henriksson","18","se SWE","AM","23-227","16","0","0","0","0","0","0","0","0","1","1","0","0","0.0","0.0","0.0","0","0","1","1","100.0","0","1","0","0","0","/en/players/aec890b7/Axel-Henriksson","Blackburn Rovers","0","0","1","0","0","1","","0","","2","2","0","0","0","0","0","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Gardner-Hickman","5","eng ENG","CM","23-334","90","0","0","0","0","2","0","1","0","44","3","2","1","0.1","0.1","0.1","2","0","14","30","46.7","3","16","0","1","0","/en/players/f05ee68d/Taylor-Gardner-Hickman","Blackburn Rovers","2","8","28","11","1","44","0.0","1","100.0","68","26","1","0","2","1","18","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Adam Forshaw","28","eng ENG","CM","34-052","86","0","0","0","0","1","0","1","0","39","0","1","2","0.0","0.0","0.1","2","0","22","30","73.3","2","16","1","1","1","/en/players/9f1938ab/Adam-Forshaw","Blackburn Rovers","3","15","20","7","0","39","100.0","0","0.0","72","35","1","0","2","0","16","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Moussa Baradji","24","fr FRA","CM","25-009","4","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","0","0","1","3","33.3","0","2","0","1","0","/en/players/db82a512/Moussa-Baradji","Blackburn Rovers","0","1","3","1","0","4","0.0","1","100.0","14","0","1","0","0","0","0","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Hedges","19","wls WAL","WB","30-144","90","0","0","0","0","2","0","0","0","41","0","2","1","0.1","0.1","0.0","2","0","15","29","51.7","2","13","3","0","0","/en/players/c54816a4/Ryan-Hedges","Blackburn Rovers","2","13","15","13","2","41","","0","","117","88","1","0","0","2","12","3","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Alebiosu","2","ng NGA","WB","23-347","90","0","1","0","0","0","0","0","0","25","2","1","1","0.0","0.0","0.3","2","1","12","17","70.6","0","13","3","1","1","/en/players/ce048fb8/Ryan-Alebiosu","Blackburn Rovers","2","8","13","5","1","25","100.0","0","0.0","112","77","2","1","1","2","14","2","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"George Pratt","43","eng ENG","CB","22-073","90","0","0","0","0","0","0","0","0","49","0","0","1","0.0","0.0","0.0","0","0","20","37","54.1","0","12","0","0","0","/en/players/34eb88fe/George-Pratt","Blackburn Rovers","7","29","14","6","0","49","","0","","31","11","0","0","0","0","15","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Sean McLoughlin","15","ie IRL","CB","29-016","90","0","0","0","0","0","0","0","0","44","1","2","0","0.0","0.0","0.0","0","0","27","32","84.4","0","18","0","0","0","/en/players/315eb8f6/Sean-McLoughlin","Blackburn Rovers","16","34","8","2","1","44","","0","","84","46","1","0","2","0","15","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Lewis Miller","12","au AUS","CB","25-097","90","0","0","0","0","0","0","0","0","44","2","1","3","0.0","0.0","0.0","1","0","18","35","51.4","2","13","0","0","0","/en/players/3b7f84f4/Lewis-Miller","Blackburn Rovers","7","26","16","2","1","44","","0","","75","26","1","0","0","0","14","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Aynsley Pears","1","eng ENG","GK","27-220","90","0","0","0","0","0","0","1","0","45","0","0","0","0.0","0.0","0.0","0","0","23","45","51.1","0","28","0","0","0","/en/players/dfa084b2/Aynsley-Pears","Blackburn Rovers","38","45","0","0","0","45","","0","","101","47","0","0","0","0","22","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Wrexham","Blackburn Rovers","https://fbref.com/en/matches/f0cfebad/Wrexham-Blackburn-Rovers-November-29-2025-Championship","18","STōK Racecourse",NA,NA,NA,NA,NA,NA,NA,NA
"Josh Sargent","9","us USA","FW","25-282","87","0","1","0","0","1","0","0","0","18","0","0","0","0.0","0.0","0.1","3","1","8","11","72.7","0","15","2","1","0","/en/players/a8d4428b/Josh-Sargent","Norwich City","0","1","9","8","3","18","0.0","1","100.0","119","43","1","1","2","2","16","3","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Mathias Kvistgaarden","30","dk DEN","FW","23-228","3","0","0","0","0","0","0","0","0","1","0","0","1","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0","/en/players/49df363f/Mathias-Kvistgaarden","Norwich City","0","0","0","1","0","1","","0","","0","0","0","0","0","0","0","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Oscar Schwartau","29","dk DEN","LW","19-196","87","0","0","0","0","2","0","0","0","39","1","0","0","0.0","0.0","0.0","2","0","22","30","73.3","2","18","2","1","1","/en/players/1df214c1/Oscar-Schwartau","Norwich City","0","4","18","17","1","39","100.0","0","0.0","110","57","0","1","0","2","27","4","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Matěj Jurásek","10","cz CZE","RW,LW","22-091","3","0","0","0","0","0","0","0","0","6","1","0","0","0.0","0.0","0.0","0","0","1","1","100.0","0","2","0","0","0","/en/players/742ea558/Matej-Jurasek","Norwich City","1","3","0","3","0","6","","0","","10","4","0","0","0","2","3","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Amankwah Forson","18","gh GHA","RW","22-333","65","1","0","0","0","2","1","0","0","24","1","0","1","0.1","0.1","0.0","2","0","12","15","80.0","3","16","2","4","3","/en/players/bc62d898/Amankwah-Forson","Norwich City","1","4","1","19","2","24","75.0","1","25.0","117","44","1","2","2","0","20","14","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Errol Mundle-Smith","46","eng ENG","RW,LW","19-255","25","0","0","0","0","1","0","0","0","14","3","0","1","0.1","0.1","0.0","0","0","2","3","66.7","0","5","0","4","2","/en/players/0d70a9e6/Errol-Mundle-Smith","Norwich City","0","0","4","10","3","14","50.0","2","50.0","22","3","0","1","1","0","6","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Emiliano Marcondes","11","dk DEN","AM","30-265","65","1","0","0","0","3","1","0","0","36","0","0","0","0.6","0.6","0.0","2","2","19","27","70.4","5","16","0","0","0","/en/players/4d960fc3/Emiliano-Marcondes","Norwich City","0","2","18","16","8","36","","0","","74","34","0","0","2","0","23","3","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Jacob Wright","16","eng ENG","AM","20-069","25","0","0","0","0","1","1","0","0","15","0","1","0","0.1","0.1","0.0","2","0","11","12","91.7","2","7","1","1","0","/en/players/b6db05c3/Jacob-Wright","Norwich City","0","0","9","6","1","15","0.0","1","100.0","25","17","0","0","1","0","10","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Pelle Mattsson","7","dk DEN","DM","24-117","90","0","0","0","0","2","0","0","0","58","2","3","3","0.1","0.1","0.1","2","0","28","41","68.3","6","27","0","4","2","/en/players/8769d39d/Pelle-Mattsson","Norwich City","5","17","31","11","2","58","50.0","1","25.0","77","27","1","0","1","0","24","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Kenny McLean","23","sct SCO","DM","33-325","90","0","0","0","0","3","2","1","0","70","0","1","0","0.2","0.2","0.1","7","0","44","63","69.8","8","39","4","2","1","/en/players/471f16b3/Kenny-McLean","Norwich City","1","9","36","26","1","70","50.0","0","0.0","255","141","2","0","1","1","50","2","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Kellen Fisher","35","eng ENG","LB","21-208","90","0","0","0","0","1","1","0","0","71","6","1","2","0.0","0.0","0.1","2","0","38","48","79.2","0","23","1","1","0","/en/players/7dc1de91/Kellen-Fisher","Norwich City","3","26","32","13","0","71","0.0","1","100.0","98","22","0","0","2","2","36","4","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Harry Darling","6","eng ENG","CB","26-113","90","0","0","0","0","0","0","0","0","90","1","1","1","0.0","0.0","0.0","1","0","72","82","87.8","4","53","1","0","0","/en/players/0b0a1b58/Harry-Darling","Norwich City","4","51","39","1","0","90","","0","","254","124","1","0","0","1","70","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Ruairi Mcconville","15","nir NIR","CB,RB","20-212","90","0","1","0","0","0","0","0","0","78","1","0","0","0.0","0.0","0.3","1","1","56","66","84.8","1","38","1","0","0","/en/players/1a28b886/Ruairi-Mcconville","Norwich City","8","41","33","4","3","78","","0","","155","63","0","0","0","0","48","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Jack Stacey","3","eng ENG","RB","29-237","55","0","0","0","0","1","0","0","0","28","0","0","1","0.0","0.0","0.3","4","0","21","23","91.3","8","14","2","1","1","/en/players/558807c0/Jack-Stacey","Norwich City","2","4","12","12","5","28","100.0","0","0.0","63","44","1","1","0","0","17","5","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Shane Duffy","4","ie IRL","CB","33-332","35","0","0","0","0","0","0","1","0","23","0","0","1","0.0","0.0","0.1","1","0","16","19","84.2","0","10","0","0","0","/en/players/7314bba4/Shane-Duffy","Norwich City","5","17","7","0","0","23","","0","","48","20","0","0","0","0","13","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Vladan Kovačević","1","ba BIH","GK","27-232","90","0","0","0","0","0","0","0","0","29","0","0","0","0.0","0.0","0.0","0","0","18","27","66.7","0","13","0","0","0","/en/players/fa462ff0/Vladan-Kovacevic","Norwich City","23","29","0","0","0","29","","0","","82","53","0","0","0","0","5","0","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Rumarn Burrell","16","jm JAM","FW","24-348","90","1","0","0","0","1","1","1","0","26","0","1","1","0.3","0.3","0.2","2","0","7","15","46.7","0","15","5","0","0","/en/players/6b1c235a/Rumarn-Burrell","Queens Park Rangers","0","4","13","10","1","26","","0","","123","65","1","0","3","3","18","4","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Ilias Chair","10","ma MAR","LM,LW","28-030","90","0","0","0","0","2","1","0","0","44","0","1","0","0.3","0.3","0.1","4","0","26","37","70.3","3","29","2","6","4","/en/players/ad7873cb/Ilias-Chair","Queens Park Rangers","0","6","18","21","1","44","66.7","2","33.3","175","84","2","1","1","0","27","2","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Karamoko Dembélé","7","eng ENG","RW","22-280","45","0","0","0","0","1","0","0","0","16","2","0","0","0.1","0.1","0.0","1","1","5","7","71.4","2","9","0","2","0","/en/players/7304f3b1/Karamoko-Dembele","Queens Park Rangers","0","1","9","6","1","16","0.0","2","100.0","59","16","1","0","1","0","8","1","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Michael Frey","12","ch SUI","FW","31-133","45","0","0","0","0","2","0","0","0","17","1","0","0","0.0","0.0","0.1","3","0","8","13","61.5","2","12","2","0","0","/en/players/33182cb8/Michael-Frey","Queens Park Rangers","0","0","7","10","2","17","","0","","43","31","1","1","0","0","13","5","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
"Koki Saito","14","jp JPN","AM","24-111","45","0","0","0","0","0","0","0","0","9","0","0","0","0.0","0.0","0.1","1","0","4","6","66.7","1","6","2","0","0","/en/players/5408dd51/Koki-Saito","Queens Park Rangers","0","1","5","3","0","9","","0","","64","30","0","0","2","1","6","2","Championship","2025-2026","Saturday November 29, 2025, 15:00 (venue time)","Norwich City","Queens Park Rangers","https://fbref.com/en/matches/c4356457/Norwich-City-Queens-Park-Rangers-November-29-2025-Championship","18","Carrow Road",NA,NA,NA,NA,NA,NA,NA,NA
